datetime	Q_tot	Q_turb	Q_spillsluice
01-01-1949	12468	 5936	 6532
01-02-1949	11217	 6565	 4652
01-03-1949	 6860	 6027	  833
01-04-1949	 6094	 6094	    0
01-05-1949	 6660	 6660	    0
01-06-1949	 8012	 8012	    0
01-07-1949	 6313	 6313	    0
01-08-1949	 9888	 8320	 1568
01-09-1949	11824	 8328	 3496
01-10-1949	11515	 7995	 3520
01-11-1949	 9241	 7708	 1533
01-12-1949	 7222	 7222	    0
01-13-1949	 6961	 6961	    0
01-14-1949	 7008	 7008	    0
01-15-1949	 3092	 3092	    0
01-16-1949	 3026	 3026	    0
01-17-1949	 4803	 4803	    0
01-18-1949	 3782	 3782	    0
01-19-1949	 4475	 4475	    0
01-20-1949	 3858	 3858	    0
01-21-1949	 3934	 3934	    0
01-22-1949	 5268	 5268	    0
01-23-1949	 2792	 2792	    0
01-24-1949	 5020	 5020	    0
01-25-1949	 5258	 5258	    0
01-26-1949	 5568	 5568	    0
01-27-1949	 4878	 4878	    0
01-28-1949	 5498	 5498	    0
01-29-1949	 3513	 3513	    0
01-30-1949	 1076	 1076	    0
01-31-1949	 4518	 4518	    0
02-01-1949	 4709	 4709	    0
02-02-1949	 5220	 5220	    0
02-03-1949	 5083	 5083	    0
02-04-1949	 2848	 2848	    0
02-05-1949	 2793	 2793	    0
02-06-1949	   54	   54	    0
02-07-1949	 1892	 1892	    0
02-08-1949	 3871	 3871	    0
02-09-1949	 4616	 4616	    0
02-10-1949	 4900	 4900	    0
02-11-1949	 3285	 3285	    0
02-12-1949	 2426	 2426	    0
02-13-1949	  939	  939	    0
02-14-1949	 1712	 1712	    0
02-15-1949	 1998	 1998	    0
02-16-1949	 1992	 1992	    0
02-17-1949	 3854	 3854	    0
02-18-1949	 3378	 3378	    0
02-19-1949	 1880	 1880	    0
02-20-1949	  245	  245	    0
02-21-1949	 3412	 3412	    0
02-22-1949	 1978	 1978	    0
02-23-1949	 2865	 2865	    0
02-24-1949	 4334	 4334	    0
02-25-1949	 3854	 3854	    0
02-26-1949	 1521	 1521	    0
02-27-1949	 1715	 1715	    0
02-28-1949	 4059	 4059	    0
03-01-1949	 4294	 4294	    0
03-02-1949	 3775	 3775	    0
03-03-1949	 4160	 4160	    0
03-04-1949	 3729	 3729	    0
03-05-1949	 2618	 2618	    0
03-06-1949	 3146	 3146	    0
03-07-1949	 3078	 3078	    0
03-08-1949	 3965	 3965	    0
03-09-1949	 3918	 3918	    0
03-10-1949	 4118	 4118	    0
03-11-1949	 3957	 3957	    0
03-12-1949	 2577	 2577	    0
03-13-1949	 3182	 3182	    0
03-14-1949	 4284	 4284	    0
03-15-1949	 4738	 4738	    0
03-16-1949	 4982	 4982	    0
03-17-1949	 4918	 4918	    0
03-18-1949	 5158	 5158	    0
03-19-1949	   24	   24	    0
03-20-1949	    0	    0	    0
03-21-1949	 1418	 1418	    0
03-22-1949	  706	  706	    0
03-23-1949	  771	  771	    0
03-24-1949	  722	  722	    0
03-25-1949	  942	  942	    0
03-26-1949	    0	    0	    0
03-27-1949	  173	  173	    0
03-28-1949	  890	  890	    0
03-29-1949	 2496	 2496	    0
03-30-1949	 1879	 1879	    0
03-31-1949	 3150	 3150	    0
04-01-1949	 1812	 1812	    0
04-02-1949	  780	  780	    0
04-03-1949	    0	    0	    0
04-04-1949	 3083	 3083	    0
04-05-1949	 3414	 3414	    0
04-06-1949	 3279	 3279	    0
04-07-1949	 3089	 3089	    0
04-08-1949	 2946	 2946	    0
04-09-1949	 2645	 2645	    0
04-10-1949	   39	   39	    0
04-11-1949	 4532	 4532	    0
04-12-1949	 3509	 3509	    0
04-13-1949	 2607	 2607	    0
04-14-1949	 2592	 2592	    0
04-15-1949	 2480	 2480	    0
04-16-1949	 1904	 1904	    0
04-17-1949	    0	    0	    0
04-18-1949	 4049	 4049	    0
04-19-1949	 5178	 5178	    0
04-20-1949	 4955	 4955	    0
04-21-1949	 4792	 4792	    0
04-22-1949	 4846	 4846	    0
04-23-1949	 4366	 4366	    0
04-24-1949	 4813	 4813	    0
04-25-1949	 4494	 4494	    0
04-26-1949	 3484	 3484	    0
04-27-1949	 4649	 4649	    0
04-28-1949	 2519	 2519	    0
04-29-1949	 2724	 2724	    0
04-30-1949	 1417	 1417	    0
05-01-1949	    0	    0	    0
05-02-1949	 3431	 3431	    0
05-03-1949	 2543	 2543	    0
05-04-1949	 2390	 2390	    0
05-05-1949	 2298	 2298	    0
05-06-1949	 2260	 2260	    0
05-07-1949	    0	    0	    0
05-08-1949	    0	    0	    0
05-09-1949	 2573	 2573	    0
05-10-1949	 1119	 1119	    0
05-11-1949	 1106	 1106	    0
05-12-1949	 1155	 1155	    0
05-13-1949	 1351	 1351	    0
05-14-1949	    0	    0	    0
05-15-1949	    0	    0	    0
05-16-1949	 3374	 3374	    0
05-17-1949	 4236	 4236	    0
05-18-1949	 4172	 4172	    0
05-19-1949	 4149	 4149	    0
05-20-1949	 4141	 4141	    0
05-21-1949	 4452	 4452	    0
05-22-1949	 3956	 3956	    0
05-23-1949	 4194	 4194	    0
05-24-1949	 4679	 4679	    0
05-25-1949	 4617	 4617	    0
05-26-1949	 2758	 2758	    0
05-27-1949	 2782	 2782	    0
05-28-1949	 2515	 2515	    0
05-29-1949	    0	    0	    0
05-30-1949	 1953	 1953	    0
05-31-1949	 2305	 2305	    0
06-01-1949	 3558	 3558	    0
06-02-1949	 2377	 2377	    0
06-03-1949	 2379	 2379	    0
06-04-1949	    0	    0	    0
06-05-1949	    0	    0	    0
06-06-1949	 2692	 2692	    0
06-07-1949	 2579	 2579	    0
06-08-1949	 2413	 2413	    0
06-09-1949	 2594	 2594	    0
06-10-1949	 2813	 2813	    0
06-11-1949	 4869	 4869	    0
06-12-1949	 4203	 4203	    0
06-13-1949	 5090	 5090	    0
06-14-1949	 5245	 5245	    0
06-15-1949	 5503	 5503	    0
06-16-1949	 3869	 3869	    0
06-17-1949	 2645	 2645	    0
06-18-1949	    0	    0	    0
06-19-1949	 2797	 2797	    0
06-20-1949	 1731	 1731	    0
06-21-1949	  981	  981	    0
06-22-1949	  729	  729	    0
06-23-1949	  680	  680	    0
06-24-1949	  807	  807	    0
06-25-1949	   23	   23	    0
06-26-1949	    0	    0	    0
06-27-1949	 1237	 1237	    0
06-28-1949	  636	  636	    0
06-29-1949	    0	    0	    0
06-30-1949	  207	  207	    0
07-01-1949	  438	  438	    0
07-02-1949	   26	   26	    0
07-03-1949	    0	    0	    0
07-04-1949	    0	    0	    0
07-05-1949	 1162	 1162	    0
07-06-1949	 1182	 1182	    0
07-07-1949	 1212	 1212	    0
07-08-1949	 1240	 1240	    0
07-09-1949	    0	    0	    0
07-10-1949	    0	    0	    0
07-11-1949	 1450	 1450	    0
07-12-1949	 2241	 2241	    0
07-13-1949	 1687	 1687	    0
07-14-1949	  540	  540	    0
07-15-1949	  586	  586	    0
07-16-1949	    0	    0	    0
07-17-1949	  436	  436	    0
07-18-1949	 4770	 4770	    0
07-19-1949	 6082	 6082	    0
07-20-1949	 6558	 6558	    0
07-21-1949	 6693	 6693	    0
07-22-1949	 6052	 6052	    0
07-23-1949	 5947	 5947	    0
07-24-1949	 4523	 4523	    0
07-25-1949	 5276	 5276	    0
07-26-1949	 5739	 5739	    0
07-27-1949	 5364	 5364	    0
07-28-1949	 5781	 5781	    0
07-29-1949	 4085	 4085	    0
07-30-1949	 4973	 4973	    0
07-31-1949	 3725	 3725	    0
08-01-1949	 5130	 5130	    0
08-02-1949	 5716	 5716	    0
08-03-1949	 5979	 5979	    0
08-04-1949	 5310	 5310	    0
08-05-1949	 5732	 5732	    0
08-06-1949	 4834	 4834	    0
08-07-1949	 3822	 3822	    0
08-08-1949	 6173	 6173	    0
08-09-1949	 6660	 6660	    0
08-10-1949	 6879	 6879	    0
08-11-1949	 6759	 6759	    0
08-12-1949	 6298	 6298	    0
08-13-1949	 5785	 5785	    0
08-14-1949	 6004	 6004	    0
08-15-1949	 6292	 6292	    0
08-16-1949	 6762	 6762	    0
08-17-1949	 6600	 6600	    0
08-18-1949	 6230	 6230	    0
08-19-1949	 6266	 6266	    0
08-20-1949	 5387	 5387	    0
08-21-1949	 5863	 5863	    0
08-22-1949	 6380	 6380	    0
08-23-1949	 6388	 6388	    0
08-24-1949	 5653	 5653	    0
08-25-1949	 6249	 6249	    0
08-26-1949	 6053	 6053	    0
08-27-1949	 5633	 5633	    0
08-28-1949	 7475	 7475	    0
08-29-1949	 6987	 6987	    0
08-30-1949	 6131	 6131	    0
08-31-1949	 6333	 6333	    0
09-01-1949	 6196	 6196	    0
09-02-1949	 6704	 6704	    0
09-03-1949	 4504	 4504	    0
09-04-1949	 6610	 6610	    0
09-05-1949	 6780	 6780	    0
09-06-1949	 5839	 5839	    0
09-07-1949	 4372	 4372	    0
09-08-1949	 5085	 5085	    0
09-09-1949	 5459	 5459	    0
09-10-1949	 2440	 2440	    0
09-11-1949	 2327	 2327	    0
09-12-1949	 6093	 6093	    0
09-13-1949	 6578	 6578	    0
09-14-1949	 6784	 6784	    0
09-15-1949	 6418	 6418	    0
09-16-1949	 6281	 6281	    0
09-17-1949	 5915	 5915	    0
09-18-1949	 5351	 5351	    0
09-19-1949	 6248	 6248	    0
09-20-1949	 7234	 7234	    0
09-21-1949	 7346	 7346	    0
09-22-1949	 7093	 7093	    0
09-23-1949	 7049	 7049	    0
09-24-1949	 7369	 7369	    0
09-25-1949	 6672	 6672	    0
09-26-1949	 7367	 7367	    0
09-27-1949	 7416	 7416	    0
09-28-1949	 7158	 7158	    0
09-29-1949	 7460	 7460	    0
09-30-1949	 7354	 7354	    0
10-01-1949	 7338	 7338	    0
10-02-1949	 7339	 7339	    0
10-03-1949	 7155	 7155	    0
10-04-1949	 7189	 7189	    0
10-05-1949	 7111	 7111	    0
10-06-1949	 7389	 7389	    0
10-07-1949	 7429	 7429	    0
10-08-1949	 7454	 7454	    0
10-09-1949	 4638	 4638	    0
10-10-1949	 6188	 6188	    0
10-11-1949	 7351	 7351	    0
10-12-1949	 7439	 7439	    0
10-13-1949	 7469	 7469	    0
10-14-1949	 7425	 7425	    0
10-15-1949	 7535	 7535	    0
10-16-1949	 7320	 7320	    0
10-17-1949	 7310	 7310	    0
10-18-1949	 7285	 7285	    0
10-19-1949	 7313	 7313	    0
10-20-1949	 7319	 7319	    0
10-21-1949	 7337	 7337	    0
10-22-1949	 7349	 7349	    0
10-23-1949	 7335	 7335	    0
10-24-1949	 7395	 7395	    0
10-25-1949	 7438	 7438	    0
10-26-1949	 7459	 7459	    0
10-27-1949	 7458	 7458	    0
10-28-1949	 7507	 7507	    0
10-29-1949	 7541	 7541	    0
10-30-1949	 7676	 7676	    0
10-31-1949	 7651	 7651	    0
11-01-1949	 7655	 7655	    0
11-02-1949	 7655	 7655	    0
11-03-1949	 7646	 7646	    0
11-04-1949	 7287	 7287	    0
11-05-1949	 6835	 6835	    0
11-06-1949	 6662	 6662	    0
11-07-1949	 7593	 7593	    0
11-08-1949	 6928	 6928	    0
11-09-1949	 7261	 7261	    0
11-10-1949	 7423	 7423	    0
11-11-1949	 7399	 7399	    0
11-12-1949	 7141	 7141	    0
11-13-1949	 6186	 6186	    0
11-14-1949	 6295	 6295	    0
11-15-1949	 6172	 6172	    0
11-16-1949	 6166	 6166	    0
11-17-1949	 6937	 6937	    0
11-18-1949	 6402	 6402	    0
11-19-1949	 7263	 7263	    0
11-20-1949	 6237	 6237	    0
11-21-1949	 6766	 6766	    0
11-22-1949	 6132	 6132	    0
11-23-1949	 6304	 6304	    0
11-24-1949	 7481	 7481	    0
11-25-1949	 6922	 6922	    0
11-26-1949	 6799	 6799	    0
11-27-1949	 5829	 5829	    0
11-28-1949	 6839	 6839	    0
11-29-1949	 6831	 6831	    0
11-30-1949	 7047	 7047	    0
12-01-1949	 7007	 7007	    0
12-02-1949	 6548	 6548	    0
12-03-1949	 4667	 4667	    0
12-04-1949	 5727	 5727	    0
12-05-1949	 6927	 6927	    0
12-06-1949	 7265	 7265	    0
12-07-1949	 7056	 7056	    0
12-08-1949	 6611	 6611	    0
12-09-1949	 6515	 6515	    0
12-10-1949	 3845	 3845	    0
12-11-1949	    0	    0	    0
12-12-1949	 5332	 5332	    0
12-13-1949	 5100	 5100	    0
12-14-1949	 5154	 5154	    0
12-15-1949	 5781	 5781	    0
12-16-1949	 6049	 6049	    0
12-17-1949	 4982	 4982	    0
12-18-1949	 3715	 3715	    0
12-19-1949	 6940	 6940	    0
12-20-1949	 6963	 6963	    0
12-21-1949	 7089	 7089	    0
12-22-1949	 5773	 5773	    0
12-23-1949	 7122	 5198	 1924
12-24-1949	 9504	 5860	 3644
12-25-1949	11212	 1638	 9574
12-26-1949	12144	 1992	10152
12-27-1949	 9874	 4941	 4933
12-28-1949	 4722	 4722	    0
12-29-1949	 5177	 5177	    0
12-30-1949	 4895	 4895	    0
12-31-1949	 4791	 4791	    0
01-01-1950	 2878	 2878	    0
01-02-1950	 6578	 6578	    0
01-03-1950	 6908	 6908	    0
01-04-1950	 7184	 7184	    0
01-05-1950	 6277	 6277	    0
01-06-1950	 6402	 6402	    0
01-07-1950	 7210	 7210	    0
01-08-1950	 5562	 5562	    0
01-09-1950	 6957	 6957	    0
01-10-1950	 6258	 6258	    0
01-11-1950	 6933	 6933	    0
01-12-1950	 6590	 6590	    0
01-13-1950	 5534	 5534	    0
01-14-1950	 2908	 2908	    0
01-15-1950	 1808	 1808	    0
01-16-1950	 3702	 3702	    0
01-17-1950	 4496	 4496	    0
01-18-1950	 4846	 4846	    0
01-19-1950	 4142	 4142	    0
01-20-1950	 3538	 3538	    0
01-21-1950	 5568	 5568	    0
01-22-1950	 5460	 5460	    0
01-23-1950	 2984	 2984	    0
01-24-1950	 2891	 2891	    0
01-25-1950	 2919	 2919	    0
01-26-1950	 3789	 3789	    0
01-27-1950	 7568	 7568	    0
01-28-1950	 7088	 7088	    0
01-29-1950	 5672	 5672	    0
01-30-1950	 7174	 7174	    0
01-31-1950	 6390	 6390	    0
02-01-1950	 5173	 5173	    0
02-02-1950	 8805	 6101	 2704
02-03-1950	14685	 6907	 7778
02-04-1950	22438	 7248	15190
02-05-1950	20484	 5315	15169
02-06-1950	21563	 6487	15076
02-07-1950	21233	 7078	14155
02-08-1950	22412	 7403	15009
02-09-1950	19476	 6922	12554
02-10-1950	20156	 6908	13248
02-11-1950	23013	 7907	15106
02-12-1950	22862	 7813	15049
02-13-1950	22450	 7513	14937
02-14-1950	21963	 7132	14831
02-15-1950	22925	 8046	14879
02-16-1950	23462	 8861	14601
02-17-1950	23450	 8911	14539
02-18-1950	23400	 9054	14346
02-19-1950	23000	 8882	14118
02-20-1950	21962	 9178	12784
02-21-1950	18773	 9286	 9487
02-22-1950	16000	 9092	 6908
02-23-1950	13953	 9033	 4920
02-24-1950	12680	 9070	 3610
02-25-1950	 8958	 8958	    0
02-26-1950	 4756	 4756	    0
02-27-1950	 8418	 8418	    0
02-28-1950	 8507	 8507	    0
03-01-1950	 7558	 7558	    0
03-02-1950	 5920	 5920	    0
03-03-1950	 6218	 6218	    0
03-04-1950	 6354	 6354	    0
03-05-1950	 1578	 1578	    0
03-06-1950	 5201	 5201	    0
03-07-1950	 5953	 5953	    0
03-08-1950	 6769	 6769	    0
03-09-1950	 7743	 7743	    0
03-10-1950	 5774	 5774	    0
03-11-1950	 3446	 3446	    0
03-12-1950	 1371	 1371	    0
03-13-1950	 3522	 3522	    0
03-14-1950	 2666	 2666	    0
03-15-1950	 2358	 2358	    0
03-16-1950	 2317	 2317	    0
03-17-1950	 2557	 2557	    0
03-18-1950	 3959	 3959	    0
03-19-1950	  237	  237	    0
03-20-1950	 3114	 3114	    0
03-21-1950	 2631	 2631	    0
03-22-1950	 1519	 1519	    0
03-23-1950	 1516	 1516	    0
03-24-1950	 1251	 1251	    0
03-25-1950	    0	    0	    0
03-26-1950	    0	    0	    0
03-27-1950	 1376	 1376	    0
03-28-1950	 1247	 1247	    0
03-29-1950	 1460	 1460	    0
03-30-1950	 1061	 1061	    0
03-31-1950	 2347	 2347	    0
04-01-1950	    0	    0	    0
04-02-1950	 4623	 4623	    0
04-03-1950	 2734	 2734	    0
04-04-1950	 1685	 1685	    0
04-05-1950	 1805	 1805	    0
04-06-1950	 3835	 3835	    0
04-07-1950	 3548	 3548	    0
04-08-1950	 1953	 1953	    0
04-09-1950	    0	    0	    0
04-10-1950	 3794	 3794	    0
04-11-1950	 3890	 3890	    0
04-12-1950	 3753	 3753	    0
04-13-1950	 3822	 3822	    0
04-14-1950	 3982	 3982	    0
04-15-1950	 3568	 3568	    0
04-16-1950	 2212	 2212	    0
04-17-1950	 4920	 4920	    0
04-18-1950	 4797	 4797	    0
04-19-1950	 4706	 4706	    0
04-20-1950	 4844	 4844	    0
04-21-1950	 4592	 4592	    0
04-22-1950	 2983	 2983	    0
04-23-1950	 2176	 2176	    0
04-24-1950	 4684	 4684	    0
04-25-1950	 4936	 4936	    0
04-26-1950	 5154	 5154	    0
04-27-1950	 5769	 5769	    0
04-28-1950	 4188	 4188	    0
04-29-1950	 4045	 4045	    0
04-30-1950	 5815	 5815	    0
05-01-1950	 4509	 4509	    0
05-02-1950	 5195	 5195	    0
05-03-1950	 5386	 5386	    0
05-04-1950	 5385	 5385	    0
05-05-1950	 4114	 4114	    0
